COUNTRY_NAME,LAT,LNG
EUROPEAN UNION,54.54,25.19
PACIFIC RIM COUNTIRES,12.8797,121.774
NAFTA,47.1164,-101.2996
TWENTY LATIN AMERICAN REPUBLICS,-4.442,-61.3269
OECD,28.8566,2.3522
NATO,50.8503,4.3517
LAFTA,-38.4161,-63.6167
EURO AREA,48.669,19.699
APEC,1.3521,103.8198
ASEAN,-6.2088,106.8456
NORTH AMERICA,54.526,-105.2551
MEXICO,23.6345,-102.5528
FRANCE,46.2276,2.2137
SWITZERLAND,46.8182,8.2275
EUROPE,54.526,15.2551
VIETNAM,14.0583,108.2772
MALAYSIA,4.2105,101.9758
CHINA,35.8617,104.1954
ASIA,34.0479,100.6197
TAIWAN,23.6978,120.9605
CANADA,56.1304,-106.3468
AUSTRIA,47.5162,14.5501
INDIA,20.5937,78.9629
GERMANY,52.52,13.405
CAFTA-DR,9.7489,83.7534
DOMINICAN REPUBLIC,18.7357,-70.1627
CENTRAL AMERICA,12.769,-85.6024
ESTONIA,58.5953,25.0136
BRAZIL,-14.235,-51.9253
SOUTH AMERICA,-8.7832,-55.4916
ITALY,41.8719,12.5674
UNITED KINGDOM,55.3781,-3.435
HONG KONG,22.3193,114.1694
SRI LANKA,7.8731,80.7718
THAILAND,15.87,100.9925
INDONESIA,0.7893,113.9213